東京,富岡三丁目,高洲四丁目,高洲七丁目,潮音の街北,海園の街,明海四丁目,シンボルロード,ベイモール,ベイパーク,日の出南小学校,アールフォーラム,日の出七丁目
17:10,17:39,17:44,17:45,17:46,17:47,17:48,17:49,17:50,17:51,17:53,17:55,17:56
18:10,18:39,18:44,18:45,18:46,18:47,18:48,18:49,18:50,18:51,18:53,18:55,18:56
18:40,19:09,19:14,19:15,19:16,19:17,19:18,19:19,19:20,19:21,19:23,19:25,19:26
19:00,19:29,19:34,19:35,19:36,19:37,19:38,19:39,19:40,19:41,19:43,19:45,19:46
19:30,19:59,20:04,20:05,20:06,20:07,20:08,20:09,20:10,20:11,20:13,20:15,20:16
20:20,20:45,20:50,20:51,20:52,20:53,20:54,20:55,20:56,20:57,20:59,21:01,21:02
21:10,21:35,21:40,21:41,21:42,21:43,21:44,21:45,21:46,21:47,21:49,21:51,21:52
21:40,22:05,22:10,22:11,22:12,22:13,22:14,22:15,22:16,22:17,22:19,22:21,22:22
22:10,22:35,22:40,22:41,22:42,22:43,22:44,22:45,22:46,22:47,22:49,22:51,22:52
23:10,23:35,23:40,23:41,23:42,23:43,23:44,23:45,23:46,23:47,23:49,23:51,23:52